,name
1237,spmlinfra
1238,tecnimont
1239,nrbbearings
1240,sreiequipmentfinance
1241,inbisco
1242,vidalhealthtpa
1243,instakartservices
1244,prathameducationfounda
1245,gtl
1246,pratibhaindustries
1247,iciciprudentialassetm
1248,drbatras'positivehea
1249,adityabirlacapital
1250,"ministryofhealth,new"
1251,livpure
1252,efsfacilitiesservices
1253,transsionholdings
1254,blackbuck
1255,h&m
1256,intel
1257,consolidatedconstructio
1258,federalmogulgoetze
1259,michelin
1260,michelin
1261,apollopharmacy
1262,alfanar
1263,pieinfocomm
1264,lionbridgetechnologies
1265,firstadvantage
1266,infinx
1267,agindustries
1268,ruralshores
1269,sterlingholidayresort
1270,rallisindia
1271,gujaratheavychemicals
1272,arvato
1273,centralbankofindia
1274,willistowerswatson
1275,vijaysales
1276,fiitjee
1277,bharatgears
1278,guptapowerinfrastructu
1279,iictechnologies
1280,virtusapolaris
1281,qualitykiosktechnologie
1282,vrllogistics
1283,puma
1284,orientcement
1285,litebitefoods
1286,qhtalbros
1287,mahindravehiclemanufac
1288,indiraivfhospital
1289,creditsuisse
1290,onwardeservices
1291,riyatravel
1292,ensuresupportservices
1293,gayatriprojects
1294,xpressbees
1295,baxterinternational
1296,meritnation
1297,regenpowertech
1298,pageindustries
1299,parashospital
1300,reliancehomefinance
1301,malabargoldanddiamond
1302,primefocustechnologies
1303,patelengineering
1304,m*modal
1305,medleypharmaceuticals
1306,nationalcollateralmana
1307,amazontransportationse
1308,financialsoftwaresyste
1309,flex
1310,kajariaceramics
1311,khazanajewellery
1312,diageo
1313,knorrbremse
1314,shalbyhospitals
1315,vlccpersonalcare
1316,symantec
1317,indianinstituteoftech
1318,atkins
1319,adityabirlafinance
1320,rashmimetaliks
1321,youbroadband
1322,balkrishnaindustries
1323,polymedicure
1324,erislifesciences
1325,arohanfinancialservice
1326,indiashelterfinanceco
1327,canon
1328,forbesmarshall
1329,ncccl
1330,medicasuperspecialtyho
1331,cpfindia
1332,vgnprojectsestatespri
1333,etaengineering
1334,hofinconsgroup
1335,veetechnologies
1336,smartdataenterprises
1337,bridgestone
1338,knightfrank
1339,offshoreinfrastructures
1340,jayaswalnecoindustries
1341,jindalx
1342,mindafurukawaelectric
1343,morganstanley
1344,rohanbuilders
1345,atosglobalitsolutions
1346,medreich
1347,tatapowerdelhidistrib
1348,jubilantgenerics
1349,nissinbrakeindia
1350,tatapowerdelhidistrib
1351,nissinbrakeindia
1352,sandoz
1353,updaterservices
1354,anjitechnologies
1355,avtec
1356,gdgoenkapublicschool
1357,sintexbapl
1358,nclindustries
1359,blkashyap&sons
1360,balajienterprises
1361,syndicatebank
1362,biskfarm
1363,happiestmindstechnolog
1364,vmwaresoftware
1365,emersonprocessmanageme
1366,pyramiditconsulting
1367,rakceramics
1368,centaurpharmaceuticals
1369,kuwaitnationalpetroleu
1370,jyothylaboratories
1371,bikanervala
1372,vxpress
1373,esskayfincorp
1374,allieddigitalservices
1375,vatikagroup
1376,aparindustries
1377,srichaitanyatechnosch
1378,stxavier'shighschool
1379,fena
1380,relianceinfrastructure
1381,bharatmatrimonycom
1382,sukampowersystems
1383,eurekaoutsourcingsolut
1384,jkpaper
1385,dbschenker
1386,tatahitachiconstructio
1387,kellogg
1388,sharemicrofin
1389,ramcosystems
1390,timesinternet
1391,keralastateelectricity
1392,ongcpetroadditions
1393,telesonicnetworks
1394,sabic
1395,jaroeducation
1396,fleetguardfilters
1397,munjalshowa
1398,hapaglloyd
1399,patelinfrastructure
1400,fusionmicrofinance
1401,musigma
1402,nomuraholdings
1403,kotakmahindraprime
1404,montecarlo
1405,tridenthotels
1406,artemishealthinstitute
1407,vulcanexpress
1408,bhartiaxageneralinsur
1409,eidparry(india)
1410,eidparry(india)
1411,rpglifesciences
1412,sunbeamauto
1413,masfinancialservices
1414,bhagwatiproducts
1415,gshgroup
1416,indecommglobalservices
1417,tavanttechnologies
1418,learcorporation
